"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"63","ERR594415","TARA_068_DCM","Marine","Virome",97.7,4777695224,48900142,247461,17349,4942,1763,387,68,221982012,94891973,57858003,36142284,15705788,5005988,17349,94891973,6790,2469,3147,13064,0,0,0,0,0,0,0,0,0,0,0,0
"64","ERR599017","TARA_068_DCM","Marine","Mixed MG",97.2,5043841692,51869290,473704,14719,2654,497,30,4,275361721,57171975,21769711,7368216,998798,220529,14719,57171975,4014,2251,4183,12021,0,0,0,0,0,0,0,0,0,0,0,0
"65","ERR594391","TARA_068_SRF","Marine","Virome",97,5728866531,59078192,288544,23258,6725,2370,540,156,287815372,141305681,91580285,61963601,34799473,21671530,23258,141305681,7922,2550,3351,16978,1349,948,921,696,281,871,34,43,702,119,88,33
"66","ERR599174","TARA_068_SRF","Marine","Mixed MG",96.8,5231100786,54025180,502571,15840,2950,606,35,6,297342474,62394895,24864554,9165139,1320553,441360,15840,62394895,4089,2242,4353,12893,31,13,12,13,2,12,0,1,3,0,3,7
"67","ERR594407","TARA_070_MES","Marine","Virome",96.2,5385681234,55986950,138855,9557,4062,1902,556,233,162895111,98385709,81439799,66378119,46075915,35001344,9557,98385709,21588,3470,691,5777,102,101,83,80,19,34,22,45,41,9,5,41
"68","ERR599044","TARA_070_MES","Marine","Mixed MG",98.3,22154461164,225479488,909285,29439,6834,2409,642,231,575157778,160781729,94512354,64422413,38304889,24136117,29439,160781729,6716,2388,4379,22064,142,136,109,119,21,56,28,52,45,9,9,70
"69","ERR594353","TARA_070_SRF","Marine","Virome",98,6111241194,62342562,330116,25209,7480,2841,727,220,320992550,153653183,100648547,69001313,37445436,20210553,25209,153653183,8294,2540,3704,18361,2020,1347,1318,937,394,1232,62,53,935,188,171,36
"70","ERR599165","TARA_070_SRF","Marine","Mixed MG",96.2,5359495119,55736308,652379,11565,2302,775,178,43,343043276,53449219,26860111,16577088,7721385,3188192,11565,53449219,5041,2278,2275,9057,78,39,35,36,14,28,4,7,18,6,4,11
"71","ERR594379","TARA_072_DCM","Marine","Virome",98.2,6830982140,69591080,307955,21652,5883,2144,532,127,275784648,118845484,71986393,46620190,22813342,8855051,21652,118845484,6800,2445,3718,16265,2078,1199,1184,844,402,1090,83,26,781,182,212,11
"72","ERR599133","TARA_072_DCM","Marine","Mixed MG",99,10597985076,107002808,1216694,35420,6866,1834,301,51,705204805,151228501,67776028,34044033,12069714,3731288,35420,151228501,4471,2278,8524,28326,529,402,395,305,167,389,5,8,354,16,14,17
"73","ERR594388","TARA_072_MES","Marine","Virome",96.4,12382055919,128447474,566989,29670,7895,2938,730,230,451407046,172296415,107873568,73913458,40957468,24009670,29670,172296415,7640,2459,4344,21868,1760,1265,1215,872,334,1133,84,48,852,169,167,49
"74","ERR599005","TARA_072_MES","Marine","Mixed MG",98.4,7688811899,78165270,711026,14924,2535,796,200,86,390407981,70549059,34894810,23224102,14413537,10580140,14924,70549059,4927,2277,2612,11613,98,62,55,61,5,35,7,20,29,3,5,24
"75","ERR594364","TARA_072_SRF","Marine","Virome",98,5172453997,52778402,293035,18599,4834,1683,463,147,253548074,105065191,64150052,42776485,24495452,13880376,18599,105065191,6995,2459,2857,13853,1139,819,767,525,213,776,23,20,606,108,81,16
