,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487017_vRhyme_unbinned_771,0,0.9928098,0.7078418,0.031344794,0.9993821,0.776879,0.9523649,0.8564768,0.99696666,0.9663521,0.8820919,0.027749691,0.9979216,0.23738906,0,0,0.9991012,0.9936524,0.98977643,0.8698461,0,0,0.020615662,0.01556005,0,0,0.029434895,0,0.023143467,0.8642287
SRR8487014_vRhyme_unbinned_323,0,0.9437217,0.6618483,0.05242363,0.99055606,0.4921461,0.49657896,0.020622531,0.7747904,0.95297295,0.29787028,0.016286017,0.94911826,0,0,0,0.93283224,0.9844849,0.23908643,0.1274935,0,0,0,0.05232726,0.081044614,0,0.058976583,0,0,0
SRR8487010_vRhyme_unbinned_641,0,0.35390577,0.17695288,0,0.65771693,0.95359945,0.86602396,0.9335976,0.8413371,0.25470763,0.59455806,0,0.8123254,0.012163258,0,0,0.565186,0.0904586,0.8881881,0.9457609,0,0,0,0,0,0.013514731,0,0,0,0.8694477
SRR8487017_vRhyme_unbinned_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SRR8487010_vRhyme_unbinned_260,0,0.9963839,0.9073186,0.03230878,0.99748445,0.9987422,0.99331814,0.9930823,0.99944973,0.9989781,0.9932395,0.013914,0.9968556,0.4421036,0.030343527,0,0.9982706,0.9983492,0.9327883,0.9705212,0.04134895,0,0.014700103,0.14652936,0.01784451,0.020988915,0.1212955,0,0.16146529,0.97287947
SRR8487016_vRhyme_unbinned_164,0.017676173,0.41097102,0.008838086,0,0.83472776,0.66020507,0.38481027,0.4541598,0.6451803,0.88333726,0.1841268,0.009662975,0.89912796,0,0,0,0.9701273,0.7461112,0.92917746,0.27969596,0,0,0,0,0,0,0.013669574,0.012550082,0,0.9328306
SRR8487018_vRhyme_unbinned_86,0,0.9855817,0.17069937,0.03190255,0.9783726,0.5544415,0.63109046,0.652055,0.99991715,0.8595459,0.46544582,0,0.96992046,0.053944316,0,0,0.96809745,0.9341233,0.6434372,0.4569937,0,0,0.051126946,0.036294334,0.01847862,0,0.026350679,0,0.10192244,0.675174
SRR8487035_vRhyme_unbinned_136,0,0.59911,0.07091032,0,0.3421689,0.01451098,0.12015092,0.39208668,0.98403794,0.9995163,0.02225017,0.040243786,0.03656767,0.048756894,0,0,0.9260907,0.9100319,0,0.007062011,0,0,0,0.023120828,0,0,0,0,0,0.07091032
SRR8487016_vRhyme_unbinned_350,0,0.89977664,0.3060441,0.021426577,0.5240787,0.12123115,0.9078727,0.9840871,0.9269263,0.28343105,0.8724176,0,0.7925042,0.04808766,0,0,0.52589333,0.2976689,0.43348688,0.88058347,0,0,0,0.025753768,0,0,0.010259631,0.041666668,0.003908431,0.97417647
SRR8487010_vRhyme_unbinned_78,0,0.46220818,0.15877725,0,0.7342319,0.9297691,0.8786276,0.95866114,0.7987876,0.616729,0.8401909,0,0.7729911,0.019476332,0,0.015026442,0.60486263,0.4219012,0.91087323,0.95111567,0,0,0,0.008125886,0,0.017928544,0.027408745,0.016316265,0.013801109,0.95569456
SRR8487021_vRhyme_unbinned_505,0,0.6348289,0.9039544,0,0.8834221,0.9060076,0.017946769,0,0.030342204,0.9998479,0.036577947,0,0.25140685,0,0,0,0.8127757,0.9971863,0.14479087,0.6860837,0,0,0,0.12547529,0.0825095,0,0,0,0.022053232,0.42410648
