,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9162900_vRhyme_unbinned_50,0.42622456,0.88847023,0.9403165,0.13504145,0.19442351,0,0.075584024,0.59969854,0,0.8773926,0.81846267,0.6091183,0.97859836,0,0.9356443,0.7295403,0.3758101,0.8668425,0,0.1241899
SRR9161503_vRhyme_unbinned_138,0,0,1,0,0.016144479,0.6172527,0,0.9994527,0,0,0,0,0.017307429,0,0,0,0,0,0.75550693,0
SRR9161510_vRhyme_unbinned_36,0.35994068,0.22687371,0.007537232,0.124803245,0.99228114,0.08720789,0.12035356,0,0,0.047705535,0,0.45507932,0.49216008,0.006356702,0.123471364,0.03465916,0.97502726,0.44212374,0.014741494,0.080033906
SRR9161506_vRhyme_unbinned_460,0.12778823,0,0,0,0,0,0.053345874,0,0,0,0,0,0,0,0,0.7825853,0,0.99932814,0,0
SRR9162900_vRhyme_unbinned_2,0.7833835,0.9676857,0.89687943,0.21550769,0,0.06328212,0.35894185,0.29122445,0.5723111,0.99207985,0.9541423,0.98962456,0.99437666,0.94954854,0.76722634,0.8587835,0,0.999208,0.035323936,0.6391573
SRR9161502_vRhyme_unbinned_46,0.9983876,0,0,0,0,0,0.7736821,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9162901_vRhyme_bin_1,0.99926585,0.000575825,0,0,0.002249318,0,0.9963255,0,0.000539836,0.019945152,0.000539836,0.006341277,0.01579921,0.001079673,0,0,0,0,0,0.00310226
SRR9161500_vRhyme_unbinned_9,0.108608924,0.022283465,0.006692913,0.21611549,0,0,0.021574803,0,0.28257218,1,0.13485564,0.029501311,0.06569554,0.44215223,0.005459318,0,0.009790027,0.015459318,0,0.047007874
SRR9161502_vRhyme_unbinned_192,1,0.1682553,0.85459304,0.026352677,0,0.06261097,0.85487336,0.11671806,0.013737034,0.3908046,0.16769461,0.7844127,0.0089244,0.04322026,0.007008691,0.01714793,0,0.251612,0.007008691,0.060321465
SRR9162908_vRhyme_unbinned_2,0,0,0.07252566,0,0.015014809,0,0,0.16020387,0.36221504,0,0,0,0,0.09243061,0,0,1,0,0,0
SRR9161509_vRhyme_bin_30,0.010982834,0.23957512,0,0.012459517,0.5846576,0,0.002642928,0.00135083,0.001317269,0.59573275,0.11580219,0.99796957,0.003137952,0,0.001392781,0.002533855,0.04341114,0,0.001392781,0.7934237
SRR9161503_vRhyme_unbinned_128,0.013967442,0,0.9988688,0,0,0,0.012000197,0.15733045,0.034869425,0,0,0.4348104,0,0.7510943,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_415,0.09527732,0,0.33937398,0,0,0.080907926,0,0,0,0,0,0.43867838,0,0,0,0.1155043,0,1,0,0
SRR9161501_vRhyme_unbinned_12,0.5059446,0.37685427,0,0.23462042,0.33447862,0.14976004,0.08971422,0,0,0.030431937,0.013361692,0.42424738,0.99530977,0,0.5489747,0.013034468,0.3770179,0.54570246,0.010580279,0.08180628
SRR9161505_vRhyme_unbinned_137,0.48829356,0.18475161,0.30811948,0.07196458,0,1,0.11316224,0.11188654,0.032192707,0.32372805,0.13237281,0.4834909,0.07151433,0.12907098,0,0.022512382,0.24793637,0.54870176,0.959928,0.12179199
SRR9161506_vRhyme_unbinned_78,0.39338672,0,0,0,0,0,0.04757751,0,0,0,0,0.31424946,0,0,0,0.43477917,0,1,0,0.056617238
SRR9161510_vRhyme_unbinned_74,0,0,0,0,1,0,0,0,0,0.031599786,0,0,0,0,0,0,0.060991395,0.13941978,0,0
SRR9161509_vRhyme_unbinned_334,0.12971982,0,0,0,0,0,0.037242882,0.0105426,0,0.03397697,0,0.9990833,0,0,0,0.02847648,0,0.14862774,0,0.03477912
SRR9161502_vRhyme_unbinned_244,1,0,0.3575937,0,0.029783037,0.87731755,0.11183432,0.0295858,0,0.021597633,0,0.23698224,0,0,0,0,0,0.30404338,0.3015779,0
SRR9161504_vRhyme_unbinned_43,0.971104,0.9979411,0.53532124,0.43883565,0,0,0.94064605,0.12531061,0.031948883,0.98984736,0.8759673,0.3339723,0.9889244,0.3093362,0.98984736,0.8108626,0.010081647,0.9927583,0,0.2685126
SRR9161502_vRhyme_unbinned_163,0.99855345,0,0,0,0.007612227,0.021224122,0.41388223,0,0,0.05067704,0,0.005193389,0.034195736,0,0,0.7822097,0,0.99917,0,0.003557115
SRR9161503_vRhyme_unbinned_92,0.99131364,0,0.9834467,0,0,0.20970254,0.681144,0.36572975,0.53413093,0.9743506,0.96631974,0.99082196,0.11644678,0.7053184,0,0.9744325,0,0.9947554,0.013439318,0.9605015
SRR9161509_vRhyme_unbinned_328,0.1590677,0.4617396,0.020169824,0.29642174,0.33833015,0,0.1271446,0.007495207,0.019148882,0.95779276,0.92069024,1,0.13097936,0.021863094,0.12589955,0.13780224,0.47735253,0.16105978,0.003735153,0.9479071
SRR9161503_vRhyme_unbinned_139,0.12946577,0,1,0,0,0.08572621,0,0.13238731,0,0.021202004,0.012854758,0.78071785,0,0.6503339,0,0,0,0.1918197,0,0.07203673
SRR9162900_vRhyme_unbinned_43,0.92567694,0.42315593,0,0,0,0.08067227,0.65518206,0,0,0.16227825,0.02745098,0,0.996732,0,0.9961718,0,0,0,0.028011205,0
SRR9161510_vRhyme_unbinned_9,0.39291474,0,0.115901515,0,0.99978495,0,0.041232124,0.024997313,0.016127298,0.8914633,0.07988388,0.6948178,0.016826147,0.18089452,0,0.21890119,0.16422965,0.36802495,0.026395012,0.26760563
SRR9162906_vRhyme_unbinned_33,0.9371756,0.9738168,0.6952672,0.9705343,0,0.79374045,0.35557252,0.69137406,0.99969465,0.06389313,0.32267174,0.92267174,0.92992365,0.6716794,0.70007634,0.12091603,0.47793892,0.97839695,0.6509924,0.94229007
SRR9161510_vRhyme_unbinned_13,0.026064662,0.14347069,0.002552781,0.03829172,1,0.013026853,0.011613512,0,0.008414318,0.016006924,0.001796807,0.017858513,0.02809155,0,0.014199161,0.008359537,0.98072815,0.07989219,0,0.017727038
SRR9162901_vRhyme_unbinned_31,1,0.13588724,0.6799783,0.06676906,0,0.14004336,0.99819297,0.40983015,0.3901337,0.15495121,0.12359957,0.8741417,0.22723165,0.90431875,0.15585472,0.10715576,0.1615468,0.22732201,0.07797253,0.46476328
